dataset,url,category,size,license,openeurollm_language_fit,recommendation,when_to_use,cautions
Nemotron-Math-Proofs-v1,https://huggingface.co/datasets/nvidia/Nemotron-Math-Proofs-v1,math_proofs,925k,CC-BY-SA-4.0,language_agnostic_specialized,medium,"Formal proof and proof-style reasoning","Share-alike license may constrain production use"
OpenThoughts3-1.2M,https://huggingface.co/datasets/open-thoughts/OpenThoughts3-1.2M,reasoning_sft,1.2M,check_dataset_card,language_agnostic_high_capability,medium,"Reasoning SFT comparison if not already covered by current OpenThoughts work","Likely overlapping with existing catalogue interest"
Nemotron-Science-v1,https://huggingface.co/datasets/nvidia/Nemotron-Science-v1,science_reasoning_sft,226k,CC-BY-4.0,medium,medium_high,"STEM SFT; science subset translation/adaptation for target languages","Synthetic science quality should be manually sampled"
SYNTHETIC-2-SFT-verified,https://huggingface.co/datasets/PrimeIntellect/SYNTHETIC-2-SFT-verified,reasoning_sft,4M,check_dataset_card,language_agnostic_high_capability,medium,"Reasoning ablation across math/code/puzzles/instruction following","Inspect synthetic traces and provenance"
CodeX-7M-Non-Thinking,https://huggingface.co/datasets/Modotte/CodeX-7M-Non-Thinking,code_sft,7.36M,check_dataset_card,language_agnostic_code,medium,"Code instruction tuning; compare direct-answer code data with The Stack/Nemotron code candidates","Large; sample and license-review before ingestion"
CodeX-2M-Thinking,https://huggingface.co/datasets/Modotte/CodeX-2M-Thinking,code_reasoning_sft,2M,check_dataset_card,language_agnostic_code,medium,"Code reasoning SFT; compare against direct-answer code data","Reasoning traces may change model verbosity"
rStar-Coder,https://huggingface.co/datasets/microsoft/rStar-Coder,code_reasoning_sft,1M,check_dataset_card,language_agnostic_code,medium,"Competitive programming reasoning; LiveCodeBench-style improvement","Not specific to any OpenEuroLLM language"
Nemotron-SFT-Competitive-Programming-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-Competitive-Programming-v2,code_reasoning_sft,845k,NVIDIA Open Model License,language_agnostic_code,medium,"Competitive programming SFT with reasoning traces","Review license and overlap with existing code candidates"
Nemotron-SFT-OpenCode-v1,https://huggingface.co/datasets/nvidia/Nemotron-SFT-OpenCode-v1,agentic_code_sft,459k,NVIDIA Open Model License,language_agnostic_code,medium,"Agentic code instruction data; SWE/tool-code behavior","Review license and schema"
Nemotron-SFT-SWE-v2,https://huggingface.co/datasets/nvidia/Nemotron-SFT-SWE-v2,swe_reasoning_sft,256k,NVIDIA Open Model License,language_agnostic_code,medium,"Software-engineering trajectories; patch-generation experiments","Review license; evaluate with practical patch tasks"
Code-Preference-Pairs,https://huggingface.co/datasets/Vezora/Code-Preference-Pairs,code_preference,53k,check_dataset_card,language_agnostic_code,medium,"Code DPO or reward-model training","Verify chosen/rejected correctness"
Skywork-Reward-Preference-80K-v0.2,https://huggingface.co/datasets/Skywork/Skywork-Reward-Preference-80K-v0.2,preference,77k,check_dataset_card,medium,medium,"Reward-model baseline; preference ablation","Inspect multilingual composition and license"
ultrafeedback-binarized-preferences-cleaned,https://huggingface.co/datasets/argilla/ultrafeedback-binarized-preferences-cleaned,preference,61.1k,check_dataset_card,medium,medium,"DPO baseline; compare with HelpSteer3","Older GPT-4-scored preference style"
Infinity-Preference,https://huggingface.co/datasets/BAAI/Infinity-Preference,preference,59k,check_dataset_card,medium,medium,"Attribute-aware preference tuning","Inspect task distribution and license"
orpo-dpo-mix-40k,https://huggingface.co/datasets/mlabonne/orpo-dpo-mix-40k,preference,44k,check_dataset_card,medium,low_medium,"Small DPO baseline mixture","Likely less strategic than HelpSteer3/Dolci-DPO"
FalseReject,https://huggingface.co/datasets/AmazonScience/FalseReject,safety_overrefusal,28.8k,CC-BY-NC-4.0,medium_for_safety_research,research_only,"Over-refusal research; target-language safety/public-sector adaptation","Non-commercial license; requires safety review"
Human-Like-DPO-Dataset,https://huggingface.co/datasets/HumanLLMs/Human-Like-DPO-Dataset,style_preference,10.9k,check_dataset_card,medium,low_medium,"Style/tone ablation; human-likeness experiments","Use cautiously; can overfit model voice"
open-perfectblend,https://huggingface.co/datasets/mlabonne/open-perfectblend,general_sft,1.42M,check_dataset_card,medium,low_medium,"General SFT baseline if Dolci/Tulu comparisons need another open mixture","Lower priority than Dolci/Aya/HelpSteer"
orca-agentinstruct-1M-v1-cleaned,https://huggingface.co/datasets/mlabonne/orca-agentinstruct-1M-v1-cleaned,general_sft,1.05M,check_dataset_card,medium,low_medium,"General SFT baseline; old-style instruction mixture","Likely less strategic than newer curated candidates"
